Producto	Material	Línea	D nominal (mm)	Largo (m)	PN - Serie	D mínimo (mm)	D máximo (mm)	Espesor mínimo (mm)	Espesor máximo (mm)	Peso (kg/m)	Desv. Peso debajo	Desv. Peso arriba	Ovalidad (mm)	PHI 20°C (bar)	T Horno (°C)	Tiempo acond. (h)	Color Tubería	Color Línea
75mm x 6m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	75	6	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1		
75mm x 12m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	75	12	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1		
75mm x 50m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	75	50	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1		
75mm x 100m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	75	100	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1		
75mm x 150m SMARTCOLORS PN-12,5 SDR-13,6	PE100	SMARTCOLORS - HDPE	75	150	PN-12,5 SDR-13,6	75,0	75,5	5,6	6,3	1,236990	1,166005	1,307975	1,6	19,7	110	1		
75mm x 6m HDPE PN-10 SDR-17	PE100	HDPE	75	6	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1	NEGRO	AZUL
75mm x 12m HDPE PN-10 SDR-17	PE100	HDPE	75	12	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1	NEGRO	AZUL
75mm x 50m HDPE PN-10 SDR-17	PE100	HDPE	75	50	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1	NEGRO	AZUL
75mm x 100m HDPE PN-10 SDR-17	PE100	HDPE	75	100	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1	NEGRO	AZUL
75mm x 150m HDPE PN-10 SDR-17	PE100	HDPE	75	150	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1	NEGRO	AZUL
75mm x 6m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	75	6	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1		
75mm x 12m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	75	12	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1		
75mm x 50m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	75	50	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1		
75mm x 100m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	75	100	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1		
75mm x 150m SMARTCOLORS PN-10 SDR-17	PE100	SMARTCOLORS - HDPE	75	150	PN-10 SDR-17	75,0	75,5	4,5	5,1	1,014509	0,951819	1,077198	1,6	15,5	110	1		
75mm x 6m CHAQUETA PP-UV S-20	PP-R	CHAQUETA PP-UV	75	6	S-20	75,0	75,4	1,9	2,3	0,436450	0,3949	0,4780	1,6		150	1	GRIS(AQS)	SIN LÍNEA
75mm x 6m BETA/FIBRA/BOX	PP-RCT/FV/BOX	EVO	75	6		75,5	76,1	10,5	11,7	2,036400	1,9359	2,1369	1,6			2	GRIS(BETA)	SIN LÍNEA
75mm x 6m BETA/FIBRA PN-16 S-3,2	PP-RCT/FV	BETA/FIBRA	75	6	PN-16 S-3,2	75,1	75,7	10,3	11,5	2,075642	1,9710	2,1803	1,6	47	135	2	GRIS(BETA)	NARANJA
